,band,ccdVisitId,coord_ra,coord_dec,objectId,psfFlux,psfFluxErr,psfMag,ccdVisitId2,band2,expMidptMJD,zeroPoint
5437,y,1138137163,53.9046137,-37.3252014,1566258711813454641,354909.438418,2059.7585366,17.52470612731184,1138137163,y,61251.3416512,30.61
5438,y,458291121,53.9046137,-37.3252014,1566258711813454641,362329.4072009,1666.8587705,17.50224104135036,458291121,y,60242.1247282,30.6355
5439,z,209062092,53.9046137,-37.3252014,1566258711813454641,341398.0550328,1024.5729078,17.566847393546247,209062092,z,59862.3546552,31.4634
5440,z,939973188,53.9046137,-37.3252014,1566258711813454641,340928.2878753,982.1342176,17.568342406296644,939973188,z,60957.2295512,31.463
5441,z,209843042,53.9046137,-37.3252014,1566258711813454641,341570.2159212,994.9263127,17.566300014344346,209843042,z,59863.3314052,31.4632
5442,y,406992026,53.9046137,-37.3252014,1566258711813454641,356761.3303601,1725.3380152,17.519055563159565,406992026,y,60158.4056022,30.6318
5443,y,456651164,53.9046137,-37.3252014,1566258711813454641,357482.8547244,1722.4080083,17.516861956525382,456651164,y,60240.1142992,30.6296
5444,y,461478079,53.9046137,-37.3252014,1566258711813454641,359101.0593974,1820.5855753,17.511958284109305,461478079,y,60246.1149392,30.6358
5445,y,645566158,53.9046137,-37.3252014,1566258711813454641,355704.9551978,1700.6102264,17.522275211929617,645566158,y,60539.3375502,30.6306
5446,y,410870131,53.9046137,-37.3252014,1566258711813454641,360469.5303677,1768.9910146,17.50782859818264,410870131,y,60162.3124982,30.6291
5447,y,1199237183,53.9046137,-37.3252014,1566258711813454641,358596.9148867,1896.2604703,17.51348362779799,1199237183,y,61337.1402392,30.62
5448,y,190283121,53.9046137,-37.3252014,1566258711813454641,355215.4470853,1662.6370317,17.52377039131271,190283121,y,59835.2510262,30.6354
5449,i,1196450115,53.9046137,-37.3252014,1566258711813454641,314617.7236937,691.6552195,17.655542038630536,1196450115,i,61332.3299722,31.8519
5450,i,248962172,53.9046137,-37.3252014,1566258711813454641,312980.1509582,760.671008,17.66120801078777,248962172,i,59923.1620242,31.8472
5451,i,248966050,53.9046137,-37.3252014,1566258711813454641,316428.9923232,754.3777054,17.649309329456596,248966050,i,59923.1640132,31.85
5452,i,731779175,53.9046137,-37.3252014,1566258711813454641,315852.4959739,741.1512226,17.65128921703319,731779175,i,60661.1701102,31.8518
5453,i,479579139,53.9046137,-37.3252014,1566258711813454641,316791.5411763,735.4276929,17.648066058153816,479579139,i,60279.2081552,31.8481
5454,i,731750174,53.9046137,-37.3252014,1566258711813454641,316424.68978,737.6335391,17.649324092511808,731750174,i,60661.1567692,31.8503
5455,i,1196449089,53.9046137,-37.3252014,1566258711813454641,314010.0334634,685.0010302,17.65764118707674,1196449089,i,61332.3295242,31.8507
5456,i,479514185,53.9046137,-37.3252014,1566258711813454641,315528.6427815,750.8305901,17.652403026569996,479514185,i,60279.1784062,31.8435
5457,g,662534007,53.9046137,-37.3252014,1566258711813454641,142341.9753359,372.166828,18.516667528977372,662534007,g,60560.2863492,32.3184
5458,i,1165772180,53.9046137,-37.3252014,1566258711813454641,312931.6664696,744.7583473,17.66137621775649,1165772180,i,61286.2944132,31.8385
5459,i,731795123,53.9046137,-37.3252014,1566258711813454641,315621.6716248,748.8033425,17.65208296086874,731795123,i,60661.1773422,31.8506
5460,i,731796137,53.9046137,-37.3252014,1566258711813454641,313337.4999372,738.1929053,17.659969065132064,731796137,i,60661.1777912,31.8516
5461,i,211140041,53.9046137,-37.3252014,1566258711813454641,316161.7693916,739.2957906,17.650226616418077,211140041,i,59866.1628302,31.8477
5462,i,397330047,53.9046137,-37.3252014,1566258711813454641,313286.3202178,716.2041976,17.660146420900034,397330047,i,60142.4014512,31.8393
5463,i,204707024,53.9046137,-37.3252014,1566258711813454641,313875.4936622,684.6583581,17.658106478054375,204707024,i,59857.3479842,31.851
5464,i,1211858150,53.9046137,-37.3252014,1566258711813454641,316647.7591595,731.7576366,17.64855895256005,1211858150,i,61364.1465952,31.85
5465,i,678506050,53.9046137,-37.3252014,1566258711813454641,313491.9643307,687.1318781,17.659433967159416,678506050,i,60586.1911232,31.8508
5466,i,472073089,53.9046137,-37.3252014,1566258711813454641,315077.1775542,704.5645783,17.653957633934557,472073089,i,60269.1300422,31.8519
5467,i,471964013,53.9046137,-37.3252014,1566258711813454641,315142.3244746,712.0965217,17.653733164935637,471964013,i,60269.0783642,31.849
5468,i,471963148,53.9046137,-37.3252014,1566258711813454641,316036.3772077,717.3206462,17.650657313143057,471963148,i,60269.0779152,31.8481
5469,i,397278096,53.9046137,-37.3252014,1566258711813454641,313893.3904649,728.7962774,17.658044572448226,397278096,i,60142.3765152,31.8315
5470,i,496960035,53.9046137,-37.3252014,1566258711813454641,314074.2147384,746.5158274,17.65741929348722,496960035,i,60309.2159322,31.8483
5471,i,204706038,53.9046137,-37.3252014,1566258711813454641,315789.5638282,695.426641,17.651505566493128,204706038,i,59857.3475282,31.8507
5472,i,994944079,53.9046137,-37.3252014,1566258711813454641,316570.6405932,752.3111918,17.64882341240499,994944079,i,61045.1183992,31.8498
5473,g,944202036,53.9046137,-37.3252014,1566258711813454641,141361.7831156,365.220049,18.52416996335882,944202036,g,60962.2665222,32.3334
5474,g,193781104,53.9046137,-37.3252014,1566258711813454641,143466.3764553,362.1049856,18.508124676435664,193781104,g,59840.2121272,32.338
5475,g,159491049,53.9046137,-37.3252014,1566258711813454641,141988.4902843,372.5881512,18.519367146236146,159491049,g,59791.3591392,32.3174
5476,g,400440140,53.9046137,-37.3252014,1566258711813454641,142495.5421105,362.9553302,18.51549680522805,400440140,g,60145.4138752,32.3358
5477,g,1202931108,53.9046137,-37.3252014,1566258711813454641,142865.7733138,355.3069208,18.512679509222103,1202931108,g,61343.1079602,32.3398
5478,g,944206062,53.9046137,-37.3252014,1566258711813454641,141794.6855415,364.8609286,18.520850115464413,944206062,g,60962.2684372,32.3357
5479,g,193780080,53.9046137,-37.3252014,1566258711813454641,142359.4434748,361.9445051,18.51653429612636,193780080,g,59840.2116762,32.3374
5480,g,921271078,53.9046137,-37.3252014,1566258711813454641,142739.7431944,360.6361675,18.513637722313202,921271078,g,60934.2404412,32.3386
5481,g,430053108,53.9046137,-37.3252014,1566258711813454641,142428.4381964,379.2964833,18.516008219888818,430053108,g,60196.2358372,32.3043
